air_temp,apd,day,dewpoint,dpd,gust,hour,lat,lat_attr,lon,lon_attr,minute,month,mwd,obs_time,pressure,ptdy,station_id,tide,vis,water_temp,wave_height,wind_dir,wind_speed
,5.9,2,,8,,15,34.454,34.454,-120.783,-120.783,0,4,317,4/2/2018 15:00:00,,,46218,,,12,2.3,,
,5.5,2,,8,,15,33.225,33.225,-119.882,-119.882,0,4,309,4/2/2018 15:00:00,,,46219,,,13.8,1.4,,
,8.1,2,,15,,15,33.855,33.855,-118.634,-118.634,0,4,215,4/2/2018 15:00:00,,,46221,,,15.1,0.5,,
,7.5,2,,13,,15,33.618,33.618,-118.317,-118.317,0,4,164,4/2/2018 15:00:00,,,46222,,,14.8,0.5,,
,7.8,2,,15,,15,33.178,33.178,-117.472,-117.472,0,4,197,4/2/2018 15:00:00,,,46224,,,15.4,0.6,,
,6.6,2,,14,,14,32.933,32.933,-117.391,-117.391,21,4,194,4/2/2018 14:21:00,,,46225,,,14.5,0.6,,
,,2,,7,,14,43.769,43.769,-124.547,-124.547,53,4,,4/2/2018 14:53:00,,,46229,,,10.4,1.9,,
,7.3,2,,12,,15,32.53,32.53,-117.421,-117.421,0,4,202,4/2/2018 15:00:00,,,46232,,,15.4,0.8,,
,5.3,2,,6,,15,37.786,37.786,-122.634,-122.634,0,4,284,4/2/2018 15:00:00,,,46237,,,12.9,1.6,,
,5.7,2,,8,,15,36.341,36.341,-122.102,-122.102,0,4,325,4/2/2018 15:00:00,,,46239,,,12.8,2.2,,
,,2,,8,,14,36.626,36.626,-121.907,-121.907,51,4,,4/2/2018 14:51:00,,,46240,,,14.1,1,,
,7.7,2,,14,,14,33.22,33.22,-117.439,-117.439,58,4,216,4/2/2018 14:58:00,,,46242,,,14.8,0.5,,
,6.8,2,,8,,15,46.216,46.216,-124.128,-124.128,0,4,281,4/2/2018 15:00:00,,,46243,,,9.2,2.5,,
,5.2,2,,6,,15,40.896,40.896,-124.357,-124.357,0,4,340,4/2/2018 15:00:00,,,46244,,,10.7,2.2,,
,6.5,2,,8,,14,46.134,46.134,-124.64,-124.64,55,4,323,4/2/2018 14:55:00,,,46248,,,9.8,2.7,,
,6.5,2,,15,,15,33.76,33.76,-119.55,-119.55,0,4,207,4/2/2018 15:00:00,,,46251,,,13.3,0.8,,
,7.8,2,,13,,15,33.576,33.576,-118.181,-118.181,0,4,171,4/2/2018 15:00:00,,,46253,,,14.2,0.5,,
,,2,,13,,14,33.7,33.7,-118.201,-118.201,52,4,,4/2/2018 14:52:00,,,46256,,,13.8,0.7,,
,6.4,2,,15,,15,32.75,32.75,-117.5,-117.5,0,4,195,4/2/2018 15:00:00,,,46258,,,15.8,0.7,,
